避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
進德國小一樓活動中心,進化路135號,120.6934,24.1452,True,500,臺灣大道,臺灣大道,(臺中市),38.31,low risk,4.02,31
勤益科技大學〈工程館B1.操場〉,中山路二段57號,120.7334,24.1464,True,5080,大里,大里,(臺中市),38.34,low risk,7.63,31
大道國中宗堯樓1樓,大肚區仁德路60號,120.548844,24.146936,True,40,西屯,西屯,(臺中市),38.66,low risk,7.11,30
地潭社區活動中心,晉北路458號,120.516,24.147,True,60,線西,線西,(彰化縣),38.93,low risk,5.06,30
文德宮,嘉二路47號,120.492403,24.147211,True,10,線西,線西,(彰化縣),39.04,low risk,2.93,29
中華國小〈前棟B1、操場〉,大源路1-20號,120.726,24.1473,False,1350,臺灣大道,臺灣大道,(臺中市),38.31,low risk,7.15,31
富世活動中心,97號,121.6277,24.1473,True,100,花蓮,花蓮,(花蓮縣),34.76,low risk,19.77,24
泉州社區活動中心,仁愛路123號,120.480758,24.14783,True,20,線西,線西,(彰化縣),39.01,low risk,2.15,29
太平國中〈行政大樓B1〉,中山路二段116號,120.7346,24.1483,True,4241,大里,大里,(臺中市),38.31,low risk,7.86,31
力行國小,新望洋67號,121.189375,24.148371,True,200,埔里,埔里,(南投縣),37.34,low risk,30.07,35
伸東國民小學,中華路565號,120.4879,24.1484,True,500,線西,線西,(彰化縣),39.03,low risk,2.67,29
伸港鄉老人文康活動中心,忠孝東街50號,120.4878,24.1486,True,200,線西,線西,(彰化縣),39.03,low risk,2.68,29
惠智公園管理室1、2樓,南屯區三和里大墩十一街五一八號,120.6391,24.1489,False,50,忠明,忠明,(臺中市),37.31,low risk,0.4,32
大新活動中心3樓,南屯區大業里大墩十一街六四號,120.6526,24.1489,True,150,臺灣大道,臺灣大道,(臺中市),37.98,low risk,1.19,32
蚵寮社區活動中心,蚵寮路132-5號,120.457273,24.149014,True,60,線西,線西,(彰化縣),39.2,low risk,2.27,29
臺中市北區太平國小大禮堂及操場,北區錦平里太平路74號,120.682,24.1492,False,2000,臺灣大道,臺灣大道,(臺中市),38.25,low risk,2.78,31
泉厝社區活動中心,泉厝路44-3號,120.479829,24.149574,True,20,線西,線西,(彰化縣),39.02,low risk,2.27,29
伸仁國民小學,曾家路3之15號,120.4696,24.1499,True,400,線西,線西,(彰化縣),39.06,low risk,2.03,29
湖內社區活動中心,湖竹路5號,120.5093,24.1503,True,60,線西,線西,(彰化縣),38.94,low risk,4.58,30
大湖里光大里聯合活動中心,柳川東路四段28號,120.679493,24.150323,True,80,臺灣大道,臺灣大道,(臺中市),38.24,low risk,2.5,31
大肚社區活動中心,沙田路2段646號,120.545482,24.150654,True,41,西屯,西屯,(臺中市),38.66,low risk,7.36,30
力行國小活動中心,進化路223號,120.69394,24.150696,True,800,臺灣大道,臺灣大道,(臺中市),38.24,low risk,3.89,31
新港國民國小,和平路60號,120.4768,24.151,True,500,線西,線西,(彰化縣),39.04,low risk,2.29,29
大肚區公所五樓,沙田路2段646號,120.545324,24.151237,True,200,西屯,西屯,(臺中市),38.66,low risk,7.37,30
新光國小行政大樓,新興路200號,120.7066,24.1524,True,1050,臺灣大道,臺灣大道,(臺中市),38.22,low risk,5.11,31
